OGSE,,,,,,
Total kurtosis (Ktotal),,,,,,
Frequency,in-vivo-like diameter dist 3,ex-vivo-like diameter dist. 1,ex-vivo-like diameter dist. 2,ex-vivo-like diameter dist. 3,,
0,1.132859526,1.035769326,1.025267025,1.010358085,,
17.14,1.098965402,1.024492741,0.996709851,0.956052223,,
54.28,0.95812794,0.968908636,0.894291076,0.794484316,,
70,0.844387348,0.92430208,0.831182542,0.71508288,,
,,,,,,
Mean diffusivity (MD),,,,,,
Frequency,in-vivo-like radii dist 3,ex-vivo-like radii dist. 1,ex-vivo-like radii dist. 2,ex-vivo-like radii dist. 3,,
0,0.374142,0.336702,0.340922,0.345439,,
17.14,0.37709,0.336558,0.343698,0.352815,,
54.28,0.402202,0.347228,0.367444,0.397271,,
70,0.43495,0.358507,0.38904,0.434221,,
,,,,,,
b-tensor,,,,,,
Total kurtosis (Ktotal),,,,,,
Radii distribuition,in-vivo-like,ex-vivo-like,,,,
1,,1.036327533,,,,
2,,1.015149459,,,,
3,1.141169927,0.984554799,,,,
,,,,,,
Anisotropic kurtosis (Kani),,,,,,
Radii distribuition,in-vivo-like,ex-vivo-like,,,,
1,,1.101437,,,,
2,,1.083858,,,,
3,1.160733,1.06611,,,,
,,,,,,
Isotropic kurtosis (Kiso),,,,,,
Radii distribuition,in-vivo-like,ex-vivo-like,,,,
1,,-0.065109894,,,,
2,,-0.068708755,,,,
3,-0.019562702,-0.081555301,,,,
,,,,,,
Microscopic fractional anisotropy (µFA),,,,,,
Radii distribuition,in-vivo-like,ex-vivo-like,,,,
1,,0.847278056,,,,
2,,0.843717966,,,,
3,0.858792661,0.840051971,,,,
,,,,,,
Mean diffusivity (MD),,,,,,
Radii distribuition,in-vivo-like,ex-vivo-like,,,,
1,,0.370203,,,,
2,,0.380183,,,,
3,0.407127,0.393796,,,,
